protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g3534.t1,g3534,7.39697440308051,121.462434021158,9.31677338831224e-21,GO:0055085,transmembrane transport
g3534.t1,g3534,7.39697440308051,121.462434021158,9.31677338831224e-21,GO:0035673,oligopeptide transmembrane transporter activity
g3758.t1,g3758,5.92797553784172,4091.71432550767,6.71802913807972e-23,GO:0005506,iron ion binding
g3758.t1,g3758,5.92797553784172,4091.71432550767,6.71802913807972e-23,GO:0004497,monooxygenase activity
g3758.t1,g3758,5.92797553784172,4091.71432550767,6.71802913807972e-23,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
g3758.t1,g3758,5.92797553784172,4091.71432550767,6.71802913807972e-23,GO:0020037,heme binding
g4130.t1,g4130,5.75591747498612,728.521427374283,1.43420475403935e-21,GO:0020037,heme binding
g4130.t1,g4130,5.75591747498612,728.521427374283,1.43420475403935e-21,GO:0016491,oxidoreductase activity
g9104.t1,g9104,5.53587023335341,126.911183462861,3.50363541428793e-14,GO:0030151,molybdenum ion binding
g9104.t1,g9104,5.53587023335341,126.911183462861,3.50363541428793e-14,GO:0016491,oxidoreductase activity
g3645.t1,g3645,5.16738923089698,200.011018406739,2.51812443074849e-52,GO:0005507,copper ion binding
g11593.t1,g11593,4.97022174742056,597.033453326449,6.08480167464961e-113,GO:0016020,membrane
g11593.t1,g11593,4.97022174742056,597.033453326449,6.08480167464961e-113,GO:0055085,transmembrane transport
g8246.t2,g8246,4.6688989673224,8281.37964228093,9.96392877030982e-101,GO:0055085,transmembrane transport
g8246.t2,g8246,4.6688989673224,8281.37964228093,9.96392877030982e-101,GO:0022857,transmembrane transporter activity
g8246.t1,g8246,4.6688989673224,8281.37964228093,9.96392877030982e-101,GO:0055085,transmembrane transport
g8246.t1,g8246,4.6688989673224,8281.37964228093,9.96392877030982e-101,GO:0022857,transmembrane transporter activity
g11952.t1,g11952,4.21630330965683,13922.3814267903,1.72803789545522e-61,nan,
g1076.t1,g1076,3.86218878655346,130.704567802001,2.61207148181599e-22,nan,
g10993.t1,g10993,3.66933656131602,6727.77379739881,4.76456198403706e-45,GO:0005506,iron ion binding
g10993.t1,g10993,3.66933656131602,6727.77379739881,4.76456198403706e-45,GO:0004497,monooxygenase activity
g10993.t1,g10993,3.66933656131602,6727.77379739881,4.76456198403706e-45,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
g10993.t1,g10993,3.66933656131602,6727.77379739881,4.76456198403706e-45,GO:0020037,heme binding
g2896.t1,g2896,3.58020011063409,102.758343272498,1.78180053327105e-06,nan,
g8275.t1,g8275,3.5779932555907,225.06985279921,3.4059544727710203e-46,GO:0055085,transmembrane transport
g8275.t1,g8275,3.5779932555907,225.06985279921,3.4059544727710203e-46,GO:0022857,transmembrane transporter activity
g808.t1,g808,3.37947098176773,107.30203251573,1.40536164126989e-24,nan,
g808.t2,g808,3.37947098176773,107.30203251573,1.40536164126989e-24,nan,
g1595.t1,g1595,3.37445295727815,116.637516881453,5.26211750438964e-22,nan,
g3153.t1,g3153,3.18002576081372,459.549936730102,3.63728220190197e-06,GO:0016717,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"
g3153.t1,g3153,3.18002576081372,459.549936730102,3.63728220190197e-06,GO:0006629,lipid metabolic process
g3391.t1,g3391,3.12448758281916,3256.12655912605,3.67628633522877e-42,GO:0016020,membrane
g3391.t1,g3391,3.12448758281916,3256.12655912605,3.67628633522877e-42,GO:0055085,transmembrane transport
g3391.t1,g3391,3.12448758281916,3256.12655912605,3.67628633522877e-42,GO:0022857,transmembrane transporter activity
g5339.t1,g5339,3.10578266804707,328.126904617527,1.41766840434655e-10,nan,
g500.t1,g500,3.01240371301893,164.58705662932,2.9271749238631503e-31,nan,
g9247.t1,g9247,2.82047506563538,208.999251602013,1.41284632950725e-31,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors"
g9247.t1,g9247,2.82047506563538,208.999251602013,1.41284632950725e-31,GO:0050660,flavin adenine dinucleotide binding
g903.t1,g903,2.81968523817033,315.539348534328,1.24608293008437e-26,GO:0005524,ATP binding
g903.t1,g903,2.81968523817033,315.539348534328,1.24608293008437e-26,GO:0000103,sulfate assimilation
g903.t1,g903,2.81968523817033,315.539348534328,1.24608293008437e-26,GO:0004020,adenylylsulfate kinase activity
