symbol	KEGG_ko
g3894	ko:K15877
g5559	ko:K05916
g5507	ko:K01176
g10257	ko:K14686
g7093	ko:K05894
g6859	ko:K14686
g6859	ko:K14686
g842	ko:K01539
g6207	ko:K05994
g8145	ko:K16261
g75	ko:K01182
g5416	ko:K03695
g10508	ko:K05687
g9993	ko:K14816
g2236	ko:K08741
g966	ko:K00459
g8039	ko:K01193
g8039	ko:K01193
g1319	ko:K00118
g5422	ko:K00866
g5422	ko:K00894
g3597	ko:K18369
g3597	ko:K18369
g1694	ko:K19654
g2258	ko:K18097
g2258	ko:K18097
g1373	ko:K03671
g566	ko:K22121
g10878	ko:K00002
g10878	ko:K00002
g3589	ko:K17742
g2665	ko:K01264
g2795	ko:K00228
g5399	ko:K08712
g5399	ko:K08712
g9975	ko:K01560
g6266	ko:K01702
g8422	ko:K00382
g8422	ko:K17583
g8422	ko:K00382
g8422	ko:K17583
g459	ko:K04125
g5012	ko:K00053
g8787	ko:K06641
g8787	ko:K08286
g8787	ko:K08794
g8787	ko:K12776
g8787	ko:K06641
g8787	ko:K08286
g8787	ko:K08794
g8787	ko:K12776
g7483	ko:K19356
g7483	ko:K22032
g738	ko:K00697
g738	ko:K16055
g738	ko:K22337
g8344	ko:K00033
g8344	ko:K00033
g6889	ko:K01673
g8597	ko:K09503
g7120	ko:K01081
g7027	ko:K00814
g7027	ko:K00814
g2987	ko:K01785
g9554	ko:K05770
g10262	ko:K01512
g2469	ko:K13704
g9689	ko:K05349
g6295	ko:K08139
g6295	ko:K08139
g7383	ko:K01104
g7383	ko:K19806
g10240	ko:K09705
g4395	ko:K07119
g4323	ko:K00008
g6622	ko:K04079
g5822	ko:K09568
g9702	ko:K01336
g8553	ko:K17757
g5969	ko:K00463
g5794	ko:K00507
g3905	ko:K01637
g4225	ko:K13127
g4225	ko:K20793
g7216	ko:K00020
g7216	ko:K11419
g3767	ko:K00027
g3767	ko:K00027
g1288	ko:K09553
g8875	ko:K09510
g7149	ko:K15104
g7149	ko:K15104
g8256	ko:K01835
g8256	ko:K15779
g10748	ko:K15450
g1854	ko:K11701
g3655	ko:K15102
g9066	ko:K08286
g6414	ko:K00463
g6654	ko:K15172
g5529	ko:K01580
g5529	ko:K01580
g9459	ko:K16261
g9806	ko:K22048
g9983	ko:K01681
g8752	ko:K22248
g1751	ko:K00134
g1751	ko:K00134
g591	ko:K01621
g591	ko:K01621
g9920	ko:K22470
g2341	ko:K00860
g2397	ko:K04450
g2397	ko:K09047
g1957	ko:K14338
g5064	ko:K09935
g5064	ko:K09935
g8554	ko:K18561
g10704	ko:K12346
g962	ko:K00235
g4992	ko:K11593
g2242	ko:K05275
g954	ko:K00681
g954	ko:K00681
g9518	ko:K00234
g4174	ko:K00511
g8535	ko:K01027
g10935	ko:K15920
g2237	ko:K01509
g2237	ko:K03695
g5652	ko:K11982
g537	ko:K00799
