protein_ids	KEGG_ko	log2FC_shrinked
XP_018250912.1	K15877	8.5961372684169
XP_018238161.1	K10534	7.5157075144112
XP_018238160.1	K10534	7.5157075144112
XP_018238162.1	K10534	7.5157075144112
XP_018247215.1	-	7.22140259737512
XP_018247609.1	-	6.51313371573718
XP_018247608.1	-	6.51313371573718
XP_018249827.1	K05917	6.2989818862726
XP_018249826.1	K05917	6.2989818862726
XP_018249825.1	K05917	6.2989818862726
XP_018249824.1	K05917	6.2989818862726
XP_018249823.1	K05917	6.2989818862726
XP_018247607.1	-	5.93787911311912
XP_018247066.1	K09831	5.77863763917281
XP_018238755.1	K10534	5.33359252756051
XP_018238756.1	K10534	5.33359252756051
XP_018238758.1	K10534	5.33359252756051
XP_018238757.1	K10534	5.33359252756051
XP_018238759.1	K10534	5.33359252756051
XP_018253076.1	K04563,K05916	5.31522000563016
XP_018257880.1	K04563,K05916	5.25773549961828
XP_018237618.1	K15104	5.10645000365611
XP_018237617.1	K15104	5.10645000365611
XP_018237616.1	K15104	5.10645000365611
XP_018237615.1	K15104	5.10645000365611
XP_018237614.1	K15104	5.10645000365611
XP_018237613.1	K15104	5.10645000365611
XP_018237612.1	K15104	5.10645000365611
XP_018256221.1	-	4.698669735549
XP_018247613.1	-	4.51224369402134
XP_018249821.1	-	4.12978966208011
XP_018245713.1	K00559	4.06024083076354
XP_018236927.1	-	4.03919590804361
XP_018237150.1	K17877	3.87029388477522
XP_018237151.1	K17877	3.87029388477522
XP_018238224.1	-	3.80012747172223
XP_018232808.1	-	3.72844362644
XP_018246399.1	-	3.66041620189659
XP_018250086.1	K01684	3.41116509740075
XP_018256100.1	-	3.39588869234723
		3.33387030999378
XP_018233827.1	K04618	3.25410479146861
XP_018236177.1		3.22609628473524
XP_018233826.1		3.15214923340548
XP_018257861.1	-	3.0563169366312
XP_018233911.1	-	3.04433374090614
XP_018243669.1	K00122	3.02880577410998
XP_018245187.1	-	3.00381472807999
XP_018245186.1	-	3.00381472807999
XP_018236583.1	-	2.94645322791953
XP_018252898.1	-	2.91495238125087
XP_018232051.1	-	2.91040645580548
XP_018232048.1	-	2.91040645580548
XP_018232045.1	-	2.91040645580548
XP_018232046.1	-	2.91040645580548
XP_018232053.1	-	2.91040645580548
XP_018232052.1	-	2.91040645580548
XP_018232047.1	-	2.91040645580548
XP_018232050.1	-	2.91040645580548
XP_018232049.1	-	2.91040645580548
XP_018245437.1	-	2.86390190602403
XP_018245438.1	-	2.86390190602403
XP_018248015.1	-	2.76652413402595
XP_018238978.1	K00236	2.75346497286974
XP_018249611.1	K07734	2.69503117738169
XP_018245712.1	-	2.66065057911623
XP_018245711.1	-	2.66065057911623
XP_018245709.1	-	2.66065057911623
XP_018245710.1	-	2.66065057911623
XP_018241264.1	-	2.6511605177242
XP_018250311.1	-	2.64659907918535
XP_018233913.1	-	2.63676082482368
XP_018236198.1	-	2.62708431282162
XP_018246473.1	-	2.58174775692781
XP_018246474.1	-	2.58174775692781
XP_018246472.1	-	2.58174775692781
XP_018252179.1	K04450,K09047	2.53703009391579
XP_018252178.1	K04450,K09047	2.53703009391579
XP_018252177.1	K04450,K09047	2.53703009391579
XP_018243466.1	-	2.50518490523151
XP_018239575.1	K08157	2.42629400266372
XP_018254291.1	-	2.40941179073608
XP_018251389.1	K01824	2.3787441842195
XP_018236814.1	-	2.28112236495275
XP_018236815.1	-	2.28112236495275
XP_018247528.1	-	2.21724769976744
XP_018246228.1		2.20753599658047
XP_018243297.1	-	2.20452378620343
XP_018247529.1	K01184,K01213	2.19915675189533
XP_018246286.1	-	2.19279688325937
XP_018239679.1	-	2.1818790506809
XP_018255262.1	-	2.17387727261177
XP_018232569.1		2.1374252777525
XP_018232573.1		2.1374252777525
XP_018232572.1		2.1374252777525
XP_018232571.1		2.1374252777525
XP_018232570.1		2.1374252777525
XP_018232568.1		2.1374252777525
XP_018232567.1		2.1374252777525
XP_018232566.1		2.1374252777525
XP_018232565.1		2.1374252777525
XP_018257132.1	K00489	2.10128093896718
XP_018248522.1	-	2.09057332421282
XP_018233912.1		2.07980796043843
XP_018253133.1	-	2.05064157329166
XP_018252182.1	-	2.04072590913722
XP_018252181.1	-	2.04072590913722
XP_018252180.1	-	2.04072590913722
XP_018247320.1	-	2.01335035114614
XP_018249619.1	K08178	2.00908832118306
XP_018241803.1	K00589	2.00045877442349
XP_018240430.1	K00053	-2.00098947578905
XP_018232714.1	K01739	-2.01000683942817
XP_018237462.1	-	-2.02048981304883
XP_018237461.1	-	-2.02048981304883
XP_018234210.1	-	-2.02923387276917
XP_018234211.1	-	-2.02923387276917
XP_018234212.1	-	-2.02923387276917
XP_018251317.1	K22243	-2.04202184300104
XP_018251316.1	K22243	-2.04202184300104
XP_018251318.1	K22243	-2.04202184300104
XP_018239913.1	K01181	-2.04462280565865
XP_018250798.1	K08139	-2.04789500909601
XP_018250796.1	K08139	-2.04789500909601
XP_018250801.1	K08139	-2.04789500909601
XP_018250797.1	K08139	-2.04789500909601
XP_018250795.1	K08139	-2.04789500909601
XP_018250799.1	K08139	-2.04789500909601
XP_018250800.1	K08139	-2.04789500909601
XP_018250794.1	K08139	-2.04789500909601
XP_018246850.1	-	-2.05650122898575
XP_018243137.1	-	-2.06684893250798
XP_018236619.1	-	-2.06731069778263
XP_018245916.1	-	-2.06809549747295
XP_018235811.1	K01649	-2.06953539458209
XP_018243645.1	K00052	-2.07155404163695
XP_018243646.1	K00052	-2.07155404163695
XP_018243647.1	K00052	-2.07155404163695
XP_018243648.1	K00052	-2.07155404163695
XP_018243649.1	K00052	-2.07155404163695
XP_018243650.1	K00052	-2.07155404163695
XP_018254078.1	K01519	-2.08146908065995
XP_018256096.1	-	-2.08974803168006
XP_018247201.1	-	-2.09173125625582
XP_018237044.1	K16075	-2.09748886648634
XP_018243444.1	-	-2.10133087575651
XP_018236037.1	-	-2.10172103720953
XP_018236038.1	-	-2.10172103720953
XP_018237853.1	K00958	-2.1170923871398
XP_018237854.1	K00958	-2.1170923871398
XP_018252315.1	K14454	-2.12433837635681
XP_018241328.1	-	-2.12745607342514
XP_018253069.1	-	-2.14031878701871
XP_018251485.1	-	-2.14639936434258
XP_018251489.1	-	-2.14639936434258
XP_018251488.1	-	-2.14639936434258
XP_018251490.1	-	-2.14639936434258
XP_018251486.1	-	-2.14639936434258
XP_018251487.1	-	-2.14639936434258
XP_018246047.1	-	-2.14722247621788
XP_018245584.1	K08139	-2.1484880288404
		-2.15890529861175
XP_018247317.1	K00598,K11426	-2.1838187531054
XP_018237696.1	-	-2.1914738946705
XP_018236552.1	K19791	-2.199267033811
XP_018236553.1	K19791	-2.199267033811
XP_018252218.1	-	-2.19963444608386
XP_018251423.1	K09022	-2.20191779885258
XP_018250919.1	-	-2.2075120922434
XP_018254160.1	-	-2.21453874352682
XP_018254159.1	-	-2.21453874352682
